,state,county,year,urate,medhous
0,Colorado,Denver,2000,3.0083333333333333,41657.0
1,Colorado,El Paso,2000,2.8916666666666666,48991.0
2,Colorado,Arapahoe,2000,2.4,55359.0
3,Colorado,Jefferson,2000,2.35,60357.0
4,Colorado,Adams,2000,2.75,48307.0
5,Colorado,Larimer,2000,2.466666666666667,49758.0
6,Colorado,Douglas,2000,7.4416666666666655,91210.0
7,Colorado,Boulder,2000,2.375,58601.0
8,Colorado,Weid,2000,2.683333333333333,42555.0
9,Colorado,Pueblo,2000,3.9083333333333328,33673.0
10,Colorado,Mesa,2000,3.291666666666667,37138.0
11,Colorado,Broomfield,2000,2.3833333333333333,
12,Idaho,Ada,2000,3.375,48285.0
13,Idaho,Canyon,2000,4.5,37030.0
14,Idaho,Kootenai,2000,6.316666666666666,43324.0
15,Idaho,Bonneville,2000,3.4,37274.0
16,Idaho,Bannock,2000,4.616666666666666,35455.0
17,Idaho,Twin Falls,2000,4.191666666666666,37355.0
18,Idaho,Bingham,2000,4.391666666666667,33733.0
19,Idaho,Bonner,2000,7.666666666666665,37590.0
20,Idaho,Nez Perce,2000,5.2,34883.0
21,Idaho,Latah,2000,4.241666666666666,33875.0
22,Idaho,Madison,2000,3.525,39415.0
23,Idaho,Jefferson,2000,3.7,36516.0
24,Kansas,Johnson,2000,2.975,66796.0
25,Kansas,Sedgwick,2000,6.258333333333333,44145.0
26,Kansas,Shawnee,2000,4.2,41873.0
27,Kansas,Wyandotte,2000,4.025,33071.0
28,Kansas,Douglas,2000,2.825,39183.0
29,Kansas,Leavenworth,2000,4.141666666666667,48525.0
30,Kansas,Riley,2000,2.9916666666666667,33812.0
31,Kansas,Butler,2000,4.1,48336.0
32,Kansas,Reno,2000,3.858333333333333,36939.0
33,Kansas,Saline,2000,3.1,39371.0
34,Kansas,Crawford,2000,4.5,30576.0
35,Kansas,Finney,2000,2.65,39585.0
36,Oregon,Multnomah,2000,4.7333333333333325,43153.0
37,Oregon,Washington,2000,3.925,55139.0
38,Oregon,Clackamas,2000,4.1083333333333325,52670.0
39,Oregon,Lane,2000,5.458333333333333,37893.0
40,Oregon,Marion,2000,5.6,40963.0
41,Oregon,Jackson,2000,5.683333333333333,37081.0
42,Oregon,Deschutes,2000,5.425,42712.0
43,Oregon,Linn,2000,6.666666666666666,37790.0
44,Oregon,Douglas,2000,7.4416666666666655,34196.0
45,Oregon,Yamhill,2000,5.0,45107.0
46,Oregon,Benton,2000,3.9333333333333327,44113.0
47,Oregon,Josephine,2000,7.083333333333333,31479.0
48,South Carolina,Greenville,2000,2.691666666666667,42544.0
49,South Carolina,Richland,2000,3.333333333333333,40999.0
50,South Carolina,Charleston,2000,3.316666666666667,39815.0
51,South Carolina,Horry,2000,3.7,36317.0
52,South Carolina,Spartanburg,2000,3.633333333333333,38616.0
53,South Carolina,Lexington,2000,2.7,45821.0
54,South Carolina,York,2000,3.283333333333333,44750.0
55,South Carolina,Berkeley,2000,3.3,40309.0
56,South Carolina,Anderson,2000,3.15,37971.0
57,South Carolina,Beaufort,2000,3.191666666666667,46486.0
58,South Carolina,Aiken,2000,3.875,38913.0
59,South Carolina,Dorchester,2000,3.066666666666667,42756.0
60,Washington,King,2000,3.8416666666666663,55158.0
61,Washington,Pierce,2000,5.375,46222.0
62,Washington,Snohomish,2000,4.266666666666667,52654.0
63,Washington,Spokane,2000,5.55,38172.0
64,Washington,Clark,2000,5.116666666666666,49569.0
65,Washington,Thurston,2000,4.9,48347.0
66,Washington,Kitsap,2000,5.433333333333333,48136.0
67,Washington,Yakima,2000,8.283333333333333,34781.0
68,Washington,Whatcom,2000,5.516666666666667,41207.0
69,Washington,Benton,2000,5.333333333333333,48399.0
70,Washington,Skagit,2000,6.25,43136.0
71,Washington,Cowlitz,2000,6.8,40457.0
72,Colorado,Denver,2001,4.425,40709.0
73,Colorado,El Paso,2001,4.216666666666667,48583.0
74,Colorado,Arapahoe,2001,3.7,55878.0
75,Colorado,Jefferson,2001,3.466666666666667,60297.0
76,Colorado,Adams,2001,4.033333333333333,46996.0
77,Colorado,Larimer,2001,3.191666666666667,49168.0
78,Colorado,Douglas,2001,8.35,93316.0
79,Colorado,Boulder,2001,3.6833333333333327,57079.0
80,Colorado,Weid,2001,3.45,42849.0
81,Colorado,Pueblo,2001,5.166666666666666,32663.0
82,Colorado,Mesa,2001,3.85,36315.0
83,Colorado,Broomfield,2001,3.633333333333333,65302.0
84,Idaho,Ada,2001,3.858333333333333,47930.0
85,Idaho,Canyon,2001,5.2,36427.0
86,Idaho,Kootenai,2001,7.1,43015.0
87,Idaho,Bonneville,2001,3.6,37028.0
88,Idaho,Bannock,2001,4.958333333333333,34738.0
89,Idaho,Twin Falls,2001,4.266666666666667,36620.0
90,Idaho,Bingham,2001,4.758333333333333,33005.0
91,Idaho,Bonner,2001,7.966666666666666,36447.0
92,Idaho,Nez Perce,2001,5.416666666666666,33934.0
93,Idaho,Latah,2001,4.391666666666667,32346.0
94,Idaho,Madison,2001,3.216666666666667,39069.0
95,Idaho,Jefferson,2001,3.9,35641.0
96,Kansas,Johnson,2001,3.8083333333333327,66665.0
97,Kansas,Sedgwick,2001,7.466666666666666,43665.0
98,Kansas,Shawnee,2001,4.1,41282.0
99,Kansas,Wyandotte,2001,4.191666666666666,32502.0
100,Kansas,Douglas,2001,3.2666666666666666,38916.0
101,Kansas,Leavenworth,2001,5.15,48749.0
102,Kansas,Riley,2001,3.2666666666666666,33590.0
103,Kansas,Butler,2001,4.0,47719.0
104,Kansas,Reno,2001,4.525,35980.0
105,Kansas,Saline,2001,3.7416666666666663,38436.0
106,Kansas,Crawford,2001,5.1,29840.0
107,Kansas,Finney,2001,7.125,38240.0
